ID,OT/NT,Chapter,Question
1,OT,,Deuteronomy 7 : 26
2,OT,,Deuteronomy 22 : 5
3,OT,,Psalms 1 : 1
4,OT,,Psalms 1 : 2
5,OT,,Psalms 18 : 35
6,OT,,Psalms 20 : 6
7,OT,,Psalms 104 : 24
8,OT,,Psalms 119 : 9
9,OT,,Psalms 119 : 11
10,OT,,Proverbs 31 : 4
11,OT,,Proverbs 31 : 5
12,OT,,Ecclesiastes 5 : 12
13,OT,,Isaiah 14 : 11
14,OT,,Isaiah 59 : 19
15,OT,,Jeremiah 9 : 24
16,OT,,Jeremiah 35 : 14
17,OT,,Daniel 2 : 47
18,OT,,Ezekiel 36 : 26
19,OT,,Ezekiel 36 : 27
20,OT,,Habakkuk 2 : 5
21,NT,,Matthew 5 : 28
22,NT,,Luke 16 : 24
23,NT,,Acts 2 : 44
24,NT,,Romans 11 : 33
25,NT,,Romans 12 : 1
26,NT,,1 Corinthians 3 : 17
27,NT,,1 Corinthians 6 : 20
28,NT,,1 Corinthians 10 : 23
29,NT,,2 Corinthians 4 : 4
30,NT,,Galatians 1 : 3
31,NT,,Galatians 1 : 4
32,NT,,Galatians 5 : 19
33,NT,,Galatians 5 : 20
34,NT,,Galatians 5 : 21
35,NT,,Colossians 1 : 21
36,NT,,Colossians 1 : 23
37,NT,,Colossians 2 : 3
38,NT,,Colossians 3 : 16
39,NT,,1 Thess 4 : 3
40,NT,,1 Timothy 6 : 10
41,NT,,2 Timothy 3 : 16
42,NT,,2 Timothy 3 : 17
43,NT,,Titus 2 : 12
44,NT,,Titus 2 : 13
45,NT,,James 4 : 4
46,NT,,1 Peter 3 : 3
47,NT,,1 Peter 3 : 4
48,NT,,1 Peter 5 : 8
49,NT,,2 Peter 1 : 4
