ID,Year,Chapter,PgNum,Question
1,,1,1,Who are Truly Saved?
2,,1,1,"As we progress in Spiritual life, what is the problem that we face?"
3,2018,1,2,Write 4 things that thrill and excite the youth of today.
4,2023,1,3,Give any 2 attributes of a Truly Converted Christian.
5,2017,2,5,Which way leads to Destruction? What does Paul call it?
6,2023,2,5,Give any 2 meanings of the word 'World' according to the Scriptures.
7,,2,6,What is the rule of our Faith?
8,2018,2,7,List out the 3 Realms found within man.
9,2019,2,7,What are the 3 Realms found within man?
10,,2,7,"According to Eph 6:12, against whom do we wrestle?"
11,,2,7,In whose hand is this present evil world?
12,2018,2,9,Who possess inner vision?
13,2019,2,9,What is the Hallmark of a true Christian? Who cannot discern it?
14,2022,2,9,Who will count the earthly gain as dung?
15,2018,2,10,What does a converted man manifest to the worldlings?
16,2022,2,17,When does a Christian cease to shine as lights?
17,2019,2,"7,97",Write 4 Names given to Satan in the Bible.
18,2017,2,"9,10",What is the Hallmark of a true Christian? What passeth away as stated in 1 John 2:17?
19,2019,3,14,"Write 3 Warnings about Unbelieving friends, who may affect us, according to Ps 1:1."
20,,3,16,"What did Dinah, the daughter of Jacob seek? What was the end result of that?"
21,,3,18,What does the word of God call us if we have friendship of this world?
22,2018,3,20,What is a Reasonable Service?
23,2017,3,22,Why shall Sin not have dominion over you?
24,2019,3,17,What things in the life of a true Christian make a deep impression in the heart of sinners?
25,2019,3,18,How does Satan turn our affections away from God?
26,2017,4,24,What are the 2 things that have to be laid aside in our Christian race?
27,2023,4,24,What are the 2 things that have to be laid aside in a Christian race?
28,2019,4,26,What is the 2-Fold Responsibility of a Child of God?
29,2022,5,35,What are the 4 methods ordained by God for truth to prevail?
30,2023,5,35,In what way does the TV hinder a child of God who desires to walk with God?
31,2022,5,37,What should we do for perfect peace to be seen in us?
32,,6,39,What is the Dangerous Triple Effect about the Internet?
33,,7,44,Why does pornography have such strength?
34,2023,7,47,What are the 2 things that are defiled when the eyes are defiled?
35,,7,47,What happens when everytime a person commits a sin of immorality?
36,2023,7,48,What is the purpose of the sacrifice of Christ?
37,2019,8,53,Write any 8 works of the Flesh.
38,2022,10,67,What makes a Christian up-to-date?
39,2017,10,69,What does 'Shamefaced' mean?
40,2022,10,69,What does 'Shamefaced' imply?
41,2017,10,76,Why was Jesus called 'Nazarene'?
42,2018,10,76,What is the vow of a Nazarite?
43,2022,10,76,Why was Jesus called 'Nazarene'?
44,2023,10,76,What is meant by the vow of a Nazarite?
45,2022,11,79,For whom there remains no more sacrifice for sin?
46,2023,11,79,What will happen to those who sin wilfully after receiving the knowledge of the truth?
47,2019,12,83,What did Daniel purpose in his heart?
48,2022,12,87,Who were the 2 forbidden to drink wine in Old and New Testament?
49,2017,12,88,Why did God commend the house of the Rechabites?
50,2018,12,88,What did God do to the house of the Rechabites?
51,2022,13,99,Why did Daniel excel all wise men of Babylon?
52,2017,13,100,"What special judgment awaits the wise men of the world who rejected Christ, as stated in 1 Cor 1:19?"
53,2023,13,100,Why does God grant spirit of Wisdom and Discernment?
54,2018,13,"99,100",How do we receive the Wisdom of God?
55,2018,14,115,When will your barns be filled with plenty?
56,2019,14,109,Mention any 4 things which fall in the category of Gambling.
57,2018,15,135,Give 2 Scriptural references to show that God hates divorce.
58,2017,15,123,Mention the sins which are against our own body.
59,2017,15,134,Where all will you be witnesses after the Holy Ghost is come upon you?
60,2023,,,Why should we be sober and vigilant?
