Year,Chapter,PgNum,Question
2017,3,,God commands us not to love the world or worldliness but to overcome it - Explain. What will happen if we love the world?
2017,15,,Write down the preliminary steps to be taken to overcome all sexual vices.
2018,15,,Explain the three levels of spiritual growth among spiritually-minded married couples.
2018,3,,"God wants us to offer our body as a living sacrifice to Him and commands that we ""be not conformed to the world"" - Explain"
2019,2,,What does the Scripture teach us concerning World and Worldliness?
2019,14,,"List out any 15 Evils of Earthly Riches, with Bible references."
2022,14,,"What are the Evils of Earthly Riches, with Bible references."
2022,3,,Describe God's commands us to not love the world or worldliness but to overcome it.
2023,14,,"What does the Scripture say Bribes, Dowry and Gambling? What does the Scripture mention about the Stewards in the church?"
2023,15,,Explain the steps to be taken to overcome the sexual vices.
,8,,Why cannot we Dance or Act in a Drama?
,5,,Explain the Evil effects of Watching Films and TVs.
,5,,How does Satan hypnotize people through cinemas and silver screen?
,8,,"Explain how Satan, the master musician is waging an invisible war against us using music?"
,3,,What are God's commandments concerning Worldliness?
