ID,Year,Chapter,PgNum,Question (1 Mark),Options
1,2018,1,1,"When we ____, we are truly saved.",(i) Go to Church regularly    (ii) Accept Christ into our hearts    (iii) Pay tithes and offerings
2,2023,1,1,When are we truly saved?,(i) Accept Christ in our lives    (ii) Love Christ most dearly    (iii) Love our enemies as Christ did
3,2022,1,3,"For a truly converted Christian, the word of God is ____.",(i) The Law of Life    (ii) The Power of God    (iii) The Way of Life
4,2018,1,3,"In order to preserve the spiritual life, one should be found",(i) Unspotted by the world    (ii) Hate the world    (iii) Separated from the world
5,2019,2,5,Worldliness is the way of life which is inspired by:,(i) Worldly friends    (ii) Satan    (iii) Self    (iv) Those who reject God
6,2018,2,6,"____ is against godliness, spiritually and holiness",(i) Love    (ii) Desire    (iii) Worldliness
7,2017,2,7,Who is the 'god of this World'?,(i) Devil    (ii) Angel    (iii) Nebuchadnezzar
8,2022,2,7,Who is called 'Prince of this World'?,(i) Beast    (ii) False Prophet    (iii) Satan
9,2023,2,7,Who is the prince of the power of the air?,(i) Fallen Angel    (ii) Satan    (iii) Angel of God
10,2017,2,8,"Who saw, coveted and took the accursed things and was stoned to death?",(i) Amon    (ii) Achan    (iii) Asher
11,2017,2,8,Who loved 'this present world' and departed from the Lord?,(i) Diotrephas    (ii) Alexander    (iii) Demas
12,2019,2,10,Who is the salt of the earth?,(i) Unconverted man    (ii) Converted man    (iii) Righteous man    (iv) Worldly men
13,2017,2,11,For whatsoever is born of God overcometh the _____.,(i) World    (ii) Flesh    (iii) Devil
14,2019,3,12,What are the 2 things that God judges alike?,(i) Sin and Worldliness    (ii) Sin and Sinners    (iii) World and Worldliness    (iv) Sinners and Saints
15,2023,3,13,"According to Gal 1:3,4, Christ died to deliver us from",(i) Sinners    (ii) Present evil world    (iii) Fashions of the world
16,2019,3,14,Who are those who are ruled by the rulers of the darkness of this world and are alienated from the life of God?,(i) Those who forsook God    (ii) Those who do not know God    (iii) Those who hate God and the saints    (iv) Those who hate corrections
17,2022,3,15,"Though the advise worldlings offer may seem the wisest thing to do, from where will it take us away?",(i) Grace of God    (ii) Will of God    (iii) Peace of God
18,2019,3,17,When do we cease to shine as lights in the world?,(i) When we compromise with the world    (ii) When we walk away from light    (iii) When we stop going to church    (iv) When we stop praying
19,2019,4,24,What are the 3 things that a Christian has to lay aside to run his race?,(i) Friends and Worldly people    (ii) Sinners and Sin    (iii) World and Worldliness    (iv) Sin and Weight
20,2023,6,43,"According to Psa 19:11, what do we get if we keep the word of God?",(i) Great Reward    (ii) Great Peace    (iii) Great Sanctification
